Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
E04,,,,,2,32.6147994995117,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,652.296020507813,,,35.6457328796387,29.5916519165039,16312,446,15866,9,411,437,15455,0,,,,,,,,,,,,,,,,,,,,,,,,9035.16053505115,2886.64172829527,3054.7535102848,,,,,34.1602172851563,31.0714054107666,,,,,,,,,,,,,No
E05,,,,,1,10.1917533874512,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,203.835067749023,,,11.8996486663818,8.4863338470459,15883,137,15746,1,136,264,15482,0,1.02976012229919,,,1.24214568796629,0.817374576963927,2,,,,,,,2,0.514880066232555,,,0.621072843983147,0.408687288481964,33.9881735663102,,,38.6155888776866,29.3607582549337,16790.21705349,1885.00117761299,2013.56722779212,,,,,11.0628185272217,9.32133293151855,,,1.13811999092656,0.921400274003665,,,0.569059995463278,0.460700137001833,,,36.3490971564282,31.6272499761921,No
E05,,,,,2,19.7944221496582,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,395.888427734375,,,22.1801528930664,17.4135208129883,15883,265,15618,1,136,264,15482,0,,,,,,,,,,,,,,,,,,,,,,,,9255.81260134139,2909.4517891828,3015.33768071602,,,,,21.0110263824463,18.5790748596191,,,,,,,,,,,,,No
E06,,,,,1,7.60925054550171,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,152.185012817383,,,9.29976463317871,6.13843727111816,13960,90,13870,1,89,183,13687,0,0.974945724010468,,,1.22164755822788,0.728243933251236,2,,,,,,,2,0.487472872869778,,,0.610823779113939,0.364121966625618,32.7718832229389,,,38.3468750636572,27.1968913822207,16766.2401150174,1802.1729061542,1898.64611881879,,,,,8.43883991241455,6.83627414703369,,,1.10026990912841,0.849621582350699,,,0.550134954564207,0.424810791175349,,,35.6039710024756,29.9397954434022,No
E06,,,,,2,15.6095876693726,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,312.191741943359,,,17.8672466278076,13.3562526702881,13960,184,13776,1,89,183,13687,0,,,,,,,,,,,,,,,,,,,,,,,,9131.0731360394,2900.43774463242,2982.56073259938,,,,,16.760913848877,14.4593877792358,,,,,,,,,,,,,No
E07,,,,,1,6.92460060119629,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,138.492004394531,,,8.48107814788818,5.57236242294312,14995,88,14907,0,88,167,14740,0,1.05109989643097,,,1.32340473027344,0.77879499588359,2,,,,,,,2,0.525549931539257,,,0.661702365136718,0.389397497941795,34.4498675968596,,,40.3000924009199,28.5996427927994,16604.9137628729,1785.36909967285,1872.33941846989,,,,,7.68816900253296,6.21366167068481,,,1.18944508230618,0.912754643850847,,,0.59472254115309,0.456377321925423,,,37.4220900230915,31.4776451706277,No
E07,,,,,2,13.17591381073,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,263.518280029297,,,15.1760063171387,11.179217338562,14995,167,14828,0,88,167,14740,0,,,,,,,,,,,,,,,,,,,,,,,,9077.00769554641,2883.4930616759,2952.4705170848,,,,,14.1959438323975,12.1567668914795,,,,,,,,,,,,,No
E08,,,,,1,30.4068660736084,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,608.137329101563,,,33.2679023742676,27.5527725219727,17049,435,16614,10,425,454,16160,0,1.87336993217468,,,2.11842838758383,1.62831153758927,2,,,,,,,2,0.936684981293275,,,1.05921419379192,0.814155768794634,48.3653764210934,,,51.6321698469206,45.0985829952662,16475.2156496947,1776.02119998512,2151.06663289166,,,,,31.8657093048096,28.9498310089111,,,1.9983996163385,1.7483403088346,,,0.999199808169252,0.874170154417298,,,50.0321056956118,46.698647146575,No
E08,,,,,2,32.4622116088867,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,649.244262695313,,,35.4197769165039,29.5120582580566,17049,464,16585,10,425,454,16160,0,,,,,,,,,,,,,,,,,,,,,,,,9024.53733457368,2867.27879931979,3034.85273094967,,,,,33.9702453613281,30.9561061859131,,,,,,,,,,,,,No
E09,,,,,1,13.8676099777222,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,277.352203369141,,,15.8411569595337,11.897367477417,16214,190,16024,5,185,372,15652,0.043762401436272,1.00207626819611,,,1.17682192338934,0.827330617897286,2,,,,,,,2,0.501038135321658,,,0.588410961694672,0.413665308948643,33.3794407704565,,,37.2573079728036,29.5015735681095,16369.7309878701,1766.11130208679,1937.24043371987,,,,,14.8741073608398,12.8619709014893,,,1.09123213250397,0.912920408782665,,,0.545616066251983,0.456460204391333,,,35.3579425939547,31.4009389469583,No
